number_ of_syllables,number_of_pauses,rate_of_speech,articulation_rate,speaking_duration,original_duration,balance,f0_mean,f0_std,f0_median,f0_min,f0_max,f0_quantile25,f0_quan75,title,url
3152,342,3,4,722.4,1151.2,0.6,126.57,44.4,115.2,73,425,102,131,"President Reagan's Remarks to the troops in the DMZ at Camp Liberty Bell in Korea, November 13, 1983",https://www.youtube.com/watch?v=00F9OgOxMa4
4928,613,3,4,1261.0,1797.5,0.7,132.11,25.7,130.5,70,397,116,146,"President Reagan's Remarks to the Japanese National Diet in Tokyo on November 11, 1983",https://www.youtube.com/watch?v=4nddQAcHAHk
1072,98,4,5,221.6,300.9,0.7,110.66,17.86,109.0,73,388,97,121,"President Reagan's Address to the Nation Announcing Candidacy for Reelection, January 29, 1984",https://www.youtube.com/watch?v=rAR9ksM49D8
4567,470,3,5,1005.6,1468.1,0.7,123.09,20.32,121.0,73,334,109,135,"President Reagan's Address to the Nation on U.S. - Soviet Relations, January 16, 1984",https://www.youtube.com/watch?v=Fjgu6DJhnL8
3039,289,4,5,610.1,838.2,0.7,119.32,20.72,117.4,74,388,105,130,"President Reagan's Address to the Nation on Christmas and Poland, December 23, 1981",https://www.youtube.com/watch?v=OiwI1p5T8qQ
4859,472,3,5,1055.2,1424.5,0.7,121.78,21.41,119.4,72,398,106,135,"President Reagan's Address on Strategic Arms Reduction Talks, November 18, 1981",https://www.youtube.com/watch?v=d2x-hyfy6WE
6175,542,3,4,1423.3,1851.4,0.8,122.53,23.42,119.7,72,398,108,134,"President Reagan's remarks at the National Association of Manufacturers meeting, March 10, 1983",https://www.youtube.com/watch?v=d3L5psGDPJY
5902,449,3,4,1492.1,1840.3,0.8,130.83,35.15,122.6,71,386,110,141,"President Reagan's Address to the National Association of Evangelicals, March 8, 1983",https://www.youtube.com/watch?v=v7bUye1CpfE
5737,369,4,5,1092.0,1336.1,0.8,122.48,20.19,121.5,76,396,109,134,"President Reagan's Address to the Nation on the Federal Budget and Deficit Reduction, April 24, 1985",https://www.youtube.com/watch?v=VELNQUUOO_U
6086,444,3,4,1428.4,2060.1,0.7,158.01,61.28,141.1,71,422,118,173,"President Reagan's Arrival, remarks and Departure at Bitburg Air Base in West Germany, May 5, 1985",https://www.youtube.com/watch?v=xcnFPW2o28I
